Field ID	Description	Category
30620	Alanine aminotransferase	Blood biochemistry  
30600	Albumin	Blood biochemistry  
30610	Alkaline phosphatase	Blood biochemistry  
30630	Apolipoprotein A	Blood biochemistry  
30640	Apolipoprotein B	Blood biochemistry  
30650	Aspartate aminotransferase	Blood biochemistry  
30710	C-reactive protein	Blood biochemistry  
30680	Calcium	Blood biochemistry  
30690	Cholesterol	Blood biochemistry  
30700	Creatinine	Blood biochemistry  
30720	Cystatin C	Blood biochemistry  
30660	Direct bilirubin	Blood biochemistry  
30730	Gamma glutamyltransferase	Blood biochemistry  
30740	Glucose	Blood biochemistry  
30750	Glycated haemoglobin (HbA1c)	Blood biochemistry  
30760	HDL cholesterol	Blood biochemistry  
30770	IGF-1	Blood biochemistry  
30780	LDL direct	Blood biochemistry  
30790	Lipoprotein A	Blood biochemistry  
30800	Oestradiol	Blood biochemistry  
30810	Phosphate	Blood biochemistry  
30820	Rheumatoid factor	Blood biochemistry  
30830	SHBG	Blood biochemistry  
30850	Testosterone	Blood biochemistry  
30840	Total bilirubin	Blood biochemistry  
30860	Total protein	Blood biochemistry  
30870	Triglycerides	Blood biochemistry  
30880	Urate	Blood biochemistry  
30670	Urea	Blood biochemistry  
30890	Vitamin D	Blood biochemistry  
30622	Alanine aminotransferase aliquot	Blood biochemistry processing  
30621	Alanine aminotransferase assay date	Blood biochemistry processing  
30623	Alanine aminotransferase correction level	Blood biochemistry processing  
30624	Alanine aminotransferase correction reason	Blood biochemistry processing  
30625	Alanine aminotransferase missing reason	Blood biochemistry processing  
30626	Alanine aminotransferase reportability	Blood biochemistry processing  
30602	Albumin aliquot	Blood biochemistry processing  
30601	Albumin assay date	Blood biochemistry processing  
30603	Albumin correction level	Blood biochemistry processing  
30604	Albumin correction reason	Blood biochemistry processing  
30605	Albumin missing reason	Blood biochemistry processing  
30606	Albumin reportability	Blood biochemistry processing  
30612	Alkaline phosphatase aliquot	Blood biochemistry processing  
30611	Alkaline phosphatase assay date	Blood biochemistry processing  
30613	Alkaline phosphatase correction level	Blood biochemistry processing  
30614	Alkaline phosphatase correction reason	Blood biochemistry processing  
30615	Alkaline phosphatase missing reason	Blood biochemistry processing  
30616	Alkaline phosphatase reportability	Blood biochemistry processing  
30632	Apolipoprotein A aliquot	Blood biochemistry processing  
30631	Apolipoprotein A assay date	Blood biochemistry processing  
30633	Apolipoprotein A correction level	Blood biochemistry processing  
30634	Apolipoprotein A correction reason	Blood biochemistry processing  
30635	Apolipoprotein A missing reason	Blood biochemistry processing  
30636	Apolipoprotein A reportability	Blood biochemistry processing  
30642	Apolipoprotein B aliquot	Blood biochemistry processing  
30641	Apolipoprotein B assay date	Blood biochemistry processing  
30643	Apolipoprotein B correction level	Blood biochemistry processing  
30644	Apolipoprotein B correction reason	Blood biochemistry processing  
30645	Apolipoprotein B missing reason	Blood biochemistry processing  
30646	Apolipoprotein B reportability	Blood biochemistry processing  
30652	Aspartate aminotransferase aliquot	Blood biochemistry processing  
30651	Aspartate aminotransferase assay date	Blood biochemistry processing  
30653	Aspartate aminotransferase correction level	Blood biochemistry processing  
30654	Aspartate aminotransferase correction reason	Blood biochemistry processing  
30655	Aspartate aminotransferase missing reason	Blood biochemistry processing  
30656	Aspartate aminotransferase reportability	Blood biochemistry processing  
30712	C-reactive protein aliquot	Blood biochemistry processing  
30711	C-reactive protein assay date	Blood biochemistry processing  
30713	C-reactive protein correction level	Blood biochemistry processing  
30714	C-reactive protein correction reason	Blood biochemistry processing  
30715	C-reactive protein missing reason	Blood biochemistry processing  
30716	C-reactive protein reportability	Blood biochemistry processing  
30682	Calcium aliquot	Blood biochemistry processing  
30681	Calcium assay date	Blood biochemistry processing  
30683	Calcium correction level	Blood biochemistry processing  
30684	Calcium correction reason	Blood biochemistry processing  
30685	Calcium missing reason	Blood biochemistry processing  
30686	Calcium reportability	Blood biochemistry processing  
30692	Cholesterol aliquot	Blood biochemistry processing  
30691	Cholesterol assay date	Blood biochemistry processing  
30693	Cholesterol correction level	Blood biochemistry processing  
30694	Cholesterol correction reason	Blood biochemistry processing  
30695	Cholesterol missing reason	Blood biochemistry processing  
30696	Cholesterol reportability	Blood biochemistry processing  
30702	Creatinine aliquot	Blood biochemistry processing  
30701	Creatinine assay date	Blood biochemistry processing  
30703	Creatinine correction level	Blood biochemistry processing  
30704	Creatinine correction reason	Blood biochemistry processing  
30705	Creatinine missing reason	Blood biochemistry processing  
30706	Creatinine reportability	Blood biochemistry processing  
30722	Cystatin C aliquot	Blood biochemistry processing  
30721	Cystatin C assay date	Blood biochemistry processing  
30723	Cystatin C correction level	Blood biochemistry processing  
30724	Cystatin C correction reason	Blood biochemistry processing  
30725	Cystatin C missing reason	Blood biochemistry processing  
30726	Cystatin C reportability	Blood biochemistry processing  
30662	Direct bilirubin aliquot	Blood biochemistry processing  
30661	Direct bilirubin assay date	Blood biochemistry processing  
30663	Direct bilirubin correction level	Blood biochemistry processing  
30664	Direct bilirubin correction reason	Blood biochemistry processing  
30665	Direct bilirubin missing reason	Blood biochemistry processing  
30666	Direct bilirubin reportability	Blood biochemistry processing  
30897	Estimated sample dilution factor	Blood biochemistry processing  
30732	Gamma glutamyltransferase aliquot	Blood biochemistry processing  
30731	Gamma glutamyltransferase assay date	Blood biochemistry processing  
30733	Gamma glutamyltransferase correction level	Blood biochemistry processing  
30734	Gamma glutamyltransferase correction reason	Blood biochemistry processing  
30735	Gamma glutamyltransferase missing reason	Blood biochemistry processing  
30736	Gamma glutamyltransferase reportability	Blood biochemistry processing  
30742	Glucose aliquot	Blood biochemistry processing  
30741	Glucose assay date	Blood biochemistry processing  
30743	Glucose correction level	Blood biochemistry processing  
30744	Glucose correction reason	Blood biochemistry processing  
30745	Glucose missing reason	Blood biochemistry processing  
30746	Glucose reportability	Blood biochemistry processing  
30751	Glycated haemoglobin (HbA1c) assay date	Blood biochemistry processing  
30753	Glycated haemoglobin (HbA1c) correction level	Blood biochemistry processing  
30754	Glycated haemoglobin (HbA1c) correction reason	Blood biochemistry processing  
30755	Glycated haemoglobin (HbA1c) missing reason	Blood biochemistry processing  
30756	Glycated haemoglobin (HbA1c) reportability	Blood biochemistry processing  
30762	HDL cholesterol aliquot	Blood biochemistry processing  
30761	HDL cholesterol assay date	Blood biochemistry processing  
30763	HDL cholesterol correction level	Blood biochemistry processing  
30764	HDL cholesterol correction reason	Blood biochemistry processing  
30765	HDL cholesterol missing reason	Blood biochemistry processing  
30766	HDL cholesterol reportability	Blood biochemistry processing  
30772	IGF-1 aliquot	Blood biochemistry processing  
30771	IGF-1 assay date	Blood biochemistry processing  
30773	IGF-1 correction level	Blood biochemistry processing  
30774	IGF-1 correction reason	Blood biochemistry processing  
30775	IGF-1 missing reason	Blood biochemistry processing  
30776	IGF-1 reportability	Blood biochemistry processing  
30782	LDL direct aliquot	Blood biochemistry processing  
30781	LDL direct assay date	Blood biochemistry processing  
30783	LDL direct correction level	Blood biochemistry processing  
30784	LDL direct correction reason	Blood biochemistry processing  
30785	LDL direct missing reason	Blood biochemistry processing  
30786	LDL direct reportability	Blood biochemistry processing  
30792	Lipoprotein A aliquot	Blood biochemistry processing  
30791	Lipoprotein A assay date	Blood biochemistry processing  
30793	Lipoprotein A correction level	Blood biochemistry processing  
30794	Lipoprotein A correction reason	Blood biochemistry processing  
30795	Lipoprotein A missing reason	Blood biochemistry processing  
30796	Lipoprotein A reportability	Blood biochemistry processing  
30802	Oestradiol aliquot	Blood biochemistry processing  
