feature,subtype,p_value,sign,signed_log10FDR
Fluid intelligence,1,1.8203583937277504e-05,1.0,3.8647818359335506
Fluid intelligence,2,0.054789047358478775,1.0,0.9698215730131008
Fluid intelligence,3,0.28286279253912927,-1.0,-0.3576096595286344
Fluid intelligence,4,0.03462195203679644,-1.0,-1.1498586166527858
Fluid intelligence,5,5.9401141494079e-07,-1.0,-5.271962699791328
Matrix pattern completion,1,0.015434137368473613,1.0,1.4135776300450638
Matrix pattern completion,2,0.545666811515677,1.0,0.1283738861253823
Matrix pattern completion,3,0.2094901537926232,-1.0,-0.4727819019782664
Matrix pattern completion,4,0.5928070820941451,-1.0,-0.10535301987452778
Matrix pattern completion,5,0.0008913548496496161,-1.0,-2.5728281135609645
Numeric memory,1,0.004051851292498313,1.0,1.943746998127693
Numeric memory,2,0.9602733287831828,-1.0,-0.007845296039225126
Numeric memory,3,0.7545074367022813,-1.0,-0.06960091520991134
Numeric memory,4,0.39321465132835476,-1.0,-0.24351948861879075
Numeric memory,5,0.0043002074719544195,-1.0,-1.943746998127693
Pairs matching,1,0.00017500435700452203,1.0,3.1037386249699823
Pairs matching,2,0.7118264155939507,1.0,0.07419698237984483
Pairs matching,3,0.5294175084205769,1.0,0.1283738861253823
Pairs matching,4,0.03384142980543238,-1.0,-1.1498586166527858
Pairs matching,5,2.6435345323597456e-05,-1.0,-3.7815679092422436
Prospective memory,1,1.8668541153227586e-07,1.0,5.5527983594632415
Prospective memory,2,0.16407170366681223,1.0,0.5631175626943272
Prospective memory,3,0.9985519417448403,-1.0,-0.0006293394798549533
Prospective memory,4,0.0004970405683205547,-1.0,-2.7295768950908106
Prospective memory,5,5.317875200766348e-07,-1.0,-5.271962699791328
Reaction time,1,5.11678606695112e-14,1.0,11.938820222408191
Reaction time,2,0.11692132764864462,1.0,0.6768337567435682
Reaction time,3,0.3512651090379417,1.0,0.27827372723208915
Reaction time,4,5.209515421947118e-05,-1.0,-3.584232667635455
Reaction time,5,1.3154561393093802e-21,-1.0,-19.227711114056426
Symbol digit substitution,1,0.00036015192504420873,1.0,2.8316944309211713
Symbol digit substitution,2,0.7046963349817341,1.0,0.07419698237984483
Symbol digit substitution,3,0.6322410535844668,1.0,0.08997283792248872
Symbol digit substitution,4,0.0005882441483538201,-1.0,-2.691173222870916
Symbol digit substitution,5,0.0007000083458312266,-1.0,-2.6478123039931494
Tower rearranging,1,0.9091694770094568,1.0,0.02161109480946938
Tower rearranging,2,0.7572626943404736,1.0,0.06960091520991134
Tower rearranging,3,0.679997721419836,1.0,0.07419698237984483
Tower rearranging,4,0.8856747925166305,1.0,0.02276249236783433
Tower rearranging,5,0.07114729823784062,-1.0,-0.874840315190951
Trail making,1,0.03432257876586558,1.0,1.1498586166527858
Trail making,2,0.14976567690048992,1.0,0.5863485404628368
Trail making,3,0.7859769158675989,1.0,0.06416155194129629
Trail making,4,0.03364902854647278,-1.0,-1.1498586166527858
Trail making,5,2.9397443474321034e-05,-1.0,-3.7815679092422436
