feature,subtype,p_value,sign,signed_log10FDR
Fluid intelligence,1,1.8203583937282793e-05,1.0,3.688690576877743
Fluid intelligence,2,0.054789047358463336,1.0,0.9505164178178366
Fluid intelligence,3,0.28286279253912644,-1.0,-0.34236969297190184
Fluid intelligence,4,0.03462195203679641,-1.0,-1.1084659314945613
Fluid intelligence,5,5.94011414940789e-07,-1.0,-5.050113950174972
Matrix pattern completion,1,0.015434137368474956,1.0,1.3624251075976446
Matrix pattern completion,2,0.5456668115156738,1.0,0.1150099245674034
Matrix pattern completion,3,0.20949015379261943,-1.0,-0.45698763479504223
Matrix pattern completion,4,0.5928070820941473,-1.0,-0.09238804271015849
Matrix pattern completion,5,0.0008913548496496236,-1.0,-2.4759181005529043
Numeric memory,1,0.004051851292498605,1.0,1.8594261124277465
Numeric memory,2,0.9602733287831942,-1.0,-0.017605133328376262
Numeric memory,3,0.7545074367022775,-1.0,-0.06453274427952936
Numeric memory,4,0.3932146513283328,-1.0,-0.2292790495042048
Numeric memory,5,0.004300207471953534,-1.0,-1.8594261124277465
Pairs matching,1,0.0001750043570045154,-1.0,-3.0068286119619425
Pairs matching,2,0.7118264155934274,-1.0,-0.06453274427952936
Pairs matching,3,0.5294175084199265,-1.0,-0.1150099245674034
Pairs matching,4,0.03384142980545681,1.0,1.1084659314945613
Pairs matching,5,2.6435345323758087e-05,1.0,3.656629172634237
Prospective memory,1,0.013821520112368492,-1.0,-1.382322935229961
Prospective memory,2,0.16102830914938587,1.0,0.5548586014766624
Prospective memory,3,0.7661516359722055,-1.0,-0.06453274427952936
Prospective memory,4,0.9528934552637341,1.0,0.017605133328376262
Prospective memory,5,0.043129051252786425,1.0,1.0342368762606067
Reaction time,1,5.1167860669653766e-14,-1.0,-11.938820222406981
Reaction time,2,0.11692132764844923,-1.0,-0.6591049897838623
Reaction time,3,0.35126510903798525,-1.0,-0.263550470411329
Reaction time,4,5.209515421944346e-05,1.0,3.475088198210618
Reaction time,5,1.3154561393043921e-21,1.0,19.227711114058074
Symbol digit substitution,1,0.00036015192504423144,1.0,2.7445442552022437
Symbol digit substitution,2,0.7046963349817439,1.0,0.06453274427952936
Symbol digit substitution,3,0.6322410535844547,1.0,0.07738371061447645
Symbol digit substitution,4,0.0005882441483537983,-1.0,-2.577229870564095
Symbol digit substitution,5,0.0007000083458312219,-1.0,-2.5430769534731392
Tower rearranging,1,0.9091694770094446,1.0,0.02161109480947521
Tower rearranging,2,0.7572626943404769,1.0,0.06453274427952936
Tower rearranging,3,0.679997721419838,1.0,0.06453274427952936
Tower rearranging,4,0.8856747925166195,1.0,0.022762492367839716
Tower rearranging,5,0.07114729823783772,-1.0,-0.8563569094969555
Trail making,1,0.03432257876586222,-1.0,-1.1084659314945613
Trail making,2,0.1497656769005495,-1.0,-0.5693152011638837
Trail making,3,0.7859769158679519,-1.0,-0.06416155194110122
Trail making,4,0.033649028546461034,1.0,1.1084659314945613
Trail making,5,2.939744347430119e-05,1.0,3.656629172634237
