index_name,feature,subtype,p_value,sign,signed_log10FDR
fa,L acoustic radiation,1,0.5464635085031082,-1.0,-0.08535764011787789
fa,L acoustic radiation,2,0.4989276551967724,1.0,0.11114790689022062
fa,L acoustic radiation,3,0.5723405158721908,1.0,0.0804946894416373
fa,L acoustic radiation,4,0.3649528665411712,1.0,0.17666117204759715
fa,L acoustic radiation,5,0.0112155435533952,-1.0,-1.0502948266789698
fa,R acoustic radiation,1,0.5850481145124473,-1.0,-0.0770505440081439
fa,R acoustic radiation,2,0.8857296152215829,1.0,0.03298396470723392
fa,R acoustic radiation,3,0.730607399612623,1.0,0.04737485021812235
fa,R acoustic radiation,4,0.04871351788411985,1.0,0.6291747692332679
fa,R acoustic radiation,5,0.002506743401535536,-1.0,-1.3156543910914023
fa,L anterior thalamic radiation,1,0.14628471575731822,1.0,0.39466335935909247
fa,L anterior thalamic radiation,2,0.5175323072620005,1.0,0.10021143758869892
fa,L anterior thalamic radiation,3,0.9163838203374415,1.0,0.024860114474257983
fa,L anterior thalamic radiation,4,0.1100692565553882,-1.0,-0.47015041365111776
fa,L anterior thalamic radiation,5,0.06134596502566266,-1.0,-0.5930049777394438
fa,R anterior thalamic radiation,1,0.21245349046711307,1.0,0.3223562971405815
fa,R anterior thalamic radiation,2,0.42996018175463024,1.0,0.15914471259574076
fa,R anterior thalamic radiation,3,0.7711015973367069,-1.0,-0.039459480074773616
fa,R anterior thalamic radiation,4,0.13602985557614794,-1.0,-0.413538381410662
fa,R anterior thalamic radiation,5,0.2293479398933467,-1.0,-0.3098882630535951
fa,L cingulate gyrus part of cingulum,1,0.00477315134773734,1.0,1.2700422722990745
fa,L cingulate gyrus part of cingulum,2,0.4215372539225881,-1.0,-0.15914471259574076
fa,L cingulate gyrus part of cingulum,3,0.26153152330593626,-1.0,-0.2846511008254873
fa,L cingulate gyrus part of cingulum,4,0.7071099313634233,-1.0,-0.04737485021812235
fa,L cingulate gyrus part of cingulum,5,0.06046411074633869,-1.0,-0.5930049777394438
fa,R cingulate gyrus part of cingulum,1,0.223999232161466,1.0,0.31181139136823605
fa,R cingulate gyrus part of cingulum,2,0.8802982876391148,-1.0,-0.03298396470723392
fa,R cingulate gyrus part of cingulum,3,0.8570282931081441,-1.0,-0.03298396470723392
fa,R cingulate gyrus part of cingulum,4,0.5893038695098087,-1.0,-0.0770505440081439
fa,R cingulate gyrus part of cingulum,5,0.2778510628179504,-1.0,-0.2647032598824552
fa,L parahippocampal part of cingulum,1,0.3830069434854215,-1.0,-0.16931525478245657
fa,L parahippocampal part of cingulum,2,0.0042679617155873106,1.0,1.2700422722990745
fa,L parahippocampal part of cingulum,3,0.105553127418819,-1.0,-0.47015041365111776
fa,L parahippocampal part of cingulum,4,0.7849261773478335,-1.0,-0.03929540765302018
fa,L parahippocampal part of cingulum,5,0.645616454189134,-1.0,-0.0655647377974756
fa,R parahippocampal part of cingulum,1,0.1123555548498014,-1.0,-0.47015041365111776
fa,R parahippocampal part of cingulum,2,0.10539941731043379,1.0,0.47015041365111776
fa,R parahippocampal part of cingulum,3,0.21509968251579034,-1.0,-0.3223562971405815
