"Description",".sign","p.adjust","GeneRatio","subtype"
"regulation of immune system process","suppressed",0.00103189893427574,0.46800731261426,1
"positive regulation of immune system process","suppressed",0.00163524337134657,0.488311688311688,1
"intracellular signal transduction","suppressed",0.00163524337134657,0.46980854197349,1
"regulation of intracellular signal transduction","suppressed",0.00200903368230682,0.486220472440945,1
"regulation of primary metabolic process","suppressed",0.00220919209895839,0.445913461538462,1
"regulation of signal transduction","suppressed",0.00220919209895839,0.463636363636364,1
"regulation of response to stimulus","suppressed",0.00220919209895839,0.448501872659176,1
"glucocorticoid metabolic process","activated",0.00230854612712105,0.857142857142857,1
"negative regulation of cellular process","suppressed",0.00238009859710834,0.441391941391941,1
"intracellular signaling cassette","suppressed",0.00430533334928546,0.460038986354776,1
"negative regulation of extracellular matrix organization","suppressed",0.00484813662575165,0.5,1
"regulation of leukocyte migration","suppressed",0.00651689051894368,0.540540540540541,1
"positive regulation of leukocyte migration","suppressed",0.00664358117134056,0.626666666666667,1
"regulation of molecular function","suppressed",0.00664358117134056,0.488431876606684,1
"positive regulation of biological process","suppressed",0.00688239115624207,0.427046263345196,1
"negative regulation of biological process","suppressed",0.00691725598177827,0.432809773123909,1
"negative regulation of response to stimulus","suppressed",0.00760451258153757,0.47907949790795,1
"positive regulation of mononuclear cell migration","suppressed",0.00852542141277605,0.681818181818182,1
"blood vessel morphogenesis","suppressed",0.00878892164185648,0.432,1
"response to stress","suppressed",0.00878892164185648,0.568981921979068,1
"regulation of extracellular matrix organization","suppressed",0.00942432284936332,0.32258064516129,1
"mononuclear cell migration","suppressed",0.00942432284936332,0.545454545454545,1
"negative regulation of signal transduction","suppressed",0.00942432284936332,0.497005988023952,1
"regulation of signaling","suppressed",0.00942432284936332,0.447708578143361,1
"angiogenesis","suppressed",0.0106922880833903,0.442982456140351,1
"high-density lipoprotein particle remodeling","activated",0.0114909647665023,0.461538461538462,1
"negative regulation of cell communication","suppressed",0.0118387515015395,0.482288828337875,1
"positive regulation of mitotic metaphase/anaphase transition","suppressed",0.0120448804269779,0.5,1
"positive regulation of mitotic sister chromatid separation","suppressed",0.0120448804269779,0.5,1
"positive regulation of metaphase/anaphase transition of cell cycle","suppressed",0.0120448804269779,0.5,1
"positive regulation of chromosome separation","suppressed",0.0120448804269779,0.5,1
"negative regulation of catalytic activity","suppressed",0.0120448804269779,0.488888888888889,1
"regulation of innate immune response","suppressed",0.0120448804269779,0.661764705882353,1
"immune response-activating signaling pathway","suppressed",0.0120448804269779,0.608108108108108,1
"regulation of catalytic activity","suppressed",0.0120448804269779,0.501960784313725,1
"regulation of response to stress","suppressed",0.0120448804269779,0.501160092807425,1
"regulation of protein metabolic process","suppressed",0.0120448804269779,0.478555304740406,1
"regulation of cell communication","suppressed",0.0120448804269779,0.447306791569087,1
"positive regulation of cellular process","suppressed",0.0120448804269779,0.42530487804878,1
"localization","suppressed",0.0120448804269779,0.439918533604888,1
"regulation of phosphate metabolic process","suppressed",0.0123195460801326,0.517786561264822,1
"regulation of phosphorus metabolic process","suppressed",0.0123195460801326,0.517786561264822,1
"negative regulation of signaling","suppressed",0.0123195460801326,0.485094850948509,1
"vasculature development","suppressed",0.012551869531352,0.429090909090909,1
"blood vessel development","suppressed",0.0129408441137056,0.428571428571429,1
"response to stimulus","suppressed",0.0134762537448593,0.502668089647812,1
"regulation of MAPK cascade","suppressed",0.0136691382615917,0.429223744292237,1
"positive regulation of acrosome reaction","activated",0.0137506635309745,0.666666666666667,1
"positive regulation of cell communication","suppressed",0.0137506635309745,0.431067961165049,1
"positive regulation of signaling","suppressed",0.0137506635309745,0.431334622823985,1
"regulation of cellular process","suppressed",0.01421770453399,0.402992518703242,1
"negative regulation of response to food","suppressed",0.0144503688210694,0.5,1
"negative regulation of appetite","suppressed",0.0144503688210694,0.5,1
"negative regulation of response to nutrient levels","suppressed",0.0144503688210694,0.5,1
"regulation of mononuclear cell migration","suppressed",0.0144503688210694,0.590909090909091,1
"activation of immune response","suppressed",0.0144503688210694,0.591160220994475,1
