"Description",".sign","p.adjust","GeneRatio","Subtype"
"immune system process","activated",3.3275e-07,0.350961538461538,1
"signal transduction","activated",3.3275e-07,0.271460014673514,1
"response to stimulus","activated",4.36825965685223e-07,0.296691568836713,1
"signaling","activated",5.92955319775273e-07,0.263592567102546,1
"cell communication","activated",9.21808928006174e-07,0.262688614540466,1
"cell surface receptor signaling pathway","activated",4.95388333498814e-06,0.297265160523187,1
"cellular response to stimulus","activated",5.53954381593672e-05,0.255115089514066,1
"regulation of cellular process","activated",5.53954381593672e-05,0.239900249376559,1
"cell adhesion","activated",6.24226122948216e-05,0.335604770017036,1
"regulation of immune system process","activated",7.3641219149076e-05,0.301645338208409,1
"regulation of biological process","activated",7.9697934465024e-05,0.238461538461538,1
"blood vessel morphogenesis","activated",0.000128168072338872,0.456,1
"response to biotic stimulus","activated",0.000137708036953363,0.303605313092979,1
"defense response","activated",0.000217207997047469,0.306188925081433,1
"response to external stimulus","activated",0.000217207997047469,0.302631578947368,1
"angiogenesis","activated",0.000253718386146071,0.394736842105263,1
"positive regulation of leukocyte migration","activated",0.000277031309526063,0.533333333333333,1
"regulation of leukocyte migration","activated",0.000277031309526063,0.477477477477477,1
"blood vessel development","activated",0.000277031309526063,0.43609022556391,1
"negative regulation of multicellular organismal process","activated",0.000277031309526063,0.355437665782493,1
"biological process involved in interspecies interaction between organisms","activated",0.000277031309526063,0.305799648506151,1
"immune response","activated",0.000277031309526063,0.354992076069731,1
"vasculature development","activated",0.000487723113222953,0.36,1
"biological regulation","activated",0.000500710881682523,0.218940459446789,1
"anatomical structure formation involved in morphogenesis","activated",0.000535616007580711,0.340659340659341,1
"regulation of cell activation","activated",0.000621277878739661,0.354581673306773,1
"response to other organism","activated",0.000648534622535216,0.300387596899225,1
"tube morphogenesis","activated",0.000745878759935331,0.378737541528239,1
"anatomical structure development","activated",0.000745878759935331,0.261345852895149,1
"negative regulation of immune system process","activated",0.00103614919922425,0.355769230769231,1
"response to external biotic stimulus","activated",0.00118606463716027,0.301158301158301,1
"developmental process","activated",0.00118606463716027,0.257100149476831,1
"chemotaxis","activated",0.00159252906740478,0.414141414141414,1
"taxis","activated",0.00159252906740478,0.414141414141414,1
"regulation of leukocyte activation","activated",0.00162636113375223,0.357142857142857,1
"regulation of multicellular organismal process","activated",0.00170802526482867,0.285547785547786,1
"regulation of cell adhesion","activated",0.00176182223903473,0.34640522875817,1
"regulation of lymphocyte proliferation","activated",0.00203798614494904,0.372881355932203,1
"multicellular organismal process","activated",0.00250173693718156,0.317893401015228,1
"antimicrobial humoral response","activated",0.00254336740340184,0.6,1
"regulation of multicellular organismal development","activated",0.00283296476114045,0.329411764705882,1
"leukocyte migration","activated",0.00298973648185743,0.402173913043478,1
"regulation of cell population proliferation","activated",0.00313338220808219,0.298892988929889,1
"positive regulation of cell adhesion","activated",0.00321826001038261,0.296482412060302,1
"cell migration","activated",0.00321826001038261,0.326043737574553,1
"multicellular organism development","activated",0.00321826001038261,0.266416510318949,1
