feature,subtype,p_value,sign,signed_log10FDR
Happiness,1,2.02417076789362e-09,-1.0,-7.229341649444116
Happiness,2,0.0020216900483302994,-1.0,-2.2572423058947737
Happiness,3,0.16825703086474045,1.0,0.5869401357411226
Happiness,4,2.948684825919315e-09,1.0,7.229341649444116
Happiness,5,1.0918881642572026e-07,1.0,6.0587318546148365
Depression,1,6.128464285086076e-08,-1.0,-6.212648340501293
Depression,2,0.3630469521245401,-1.0,-0.31509846830055144
Depression,3,0.7528676212234001,1.0,0.10100498556402362
Depression,4,2.7768343180782607e-08,1.0,6.431511295377466
Depression,5,0.009526141373458821,1.0,1.7200529819308163
Anxiety,1,0.008338311478901031,-1.0,-1.7556154953947543
Anxiety,2,0.13801899879992682,-1.0,-0.6382123777066804
Anxiety,3,0.4757302450137092,1.0,0.25205816272195625
Anxiety,4,4.047731689660864e-06,1.0,4.635826331801608
Anxiety,5,0.460238182402684,-1.0,-0.25347130266815787
Mental distress,1,1.1264501623022357e-06,-1.0,-5.1243792771244845
Mental distress,2,0.7794056274215666,-1.0,-0.09724107856145625
Mental distress,3,0.03240400193467271,1.0,1.2095606539765926
Mental distress,4,0.0003387746681194801,1.0,2.909421765333442
Mental distress,5,0.43738585236095173,1.0,0.26222525570902694
Mania,1,0.004753392947496294,-1.0,-1.9513852125627527
Mania,2,0.13167923651753077,-1.0,-0.6401505448741748
Mania,3,0.4272335478601694,1.0,0.26222525570902694
Mania,4,0.0004037260462059341,1.0,2.8710344860905757
Mania,5,0.22586028855326065,1.0,0.49125816136596684
Self-harm,1,0.0002654418716837017,-1.0,-2.9282130871230687
Self-harm,2,0.9549036052337891,1.0,0.02004046697959325
Self-harm,3,0.6411536842889736,1.0,0.1472803672235758
Self-harm,4,0.0026919514107128307,1.0,2.1719927746503696
Self-harm,5,0.17888045321226456,1.0,0.5767408862929857
Trauma,1,0.00031194248392935883,-1.0,-2.909421765333442
Trauma,2,0.0637585787984334,-1.0,-0.9358240615779104
Trauma,3,0.1668705191930761,1.0,0.5869401357411226
Trauma,4,0.0010186623785321772,1.0,2.5038530939857218
Trauma,5,0.0053382324887531534,1.0,1.9258150296771905
Psychotic experience,1,0.0020739054927405636,-1.0,-2.2572423058947737
Psychotic experience,2,0.7163173535247828,-1.0,-0.1110362602223712
Psychotic experience,3,0.5550092240295091,-1.0,-0.19770785204048752
Psychotic experience,4,6.358421951638218e-05,1.0,3.497680650885542
Psychotic experience,5,0.289893249521587,1.0,0.39809990411581875
