region,subtype,p_value,sign,signed_log10FDR
Left thalamus,1,0.0034803473326132043,1.0,1.241896300740767
Left thalamus,2,0.34885917887242923,1.0,0.27201792997378144
Left thalamus,3,0.9863487196370948,-1.0,-0.0036777180568677162
Left thalamus,4,0.0036489261060773464,-1.0,-1.241896300740767
Left thalamus,5,0.001536109642547432,-1.0,-1.4122322603090554
Right thalamus,1,0.006191097833651166,1.0,1.1599276535020029
Right thalamus,2,0.10614079627422682,1.0,0.5557020642109332
Right thalamus,3,0.4296469321773182,-1.0,-0.22235299089626626
Right thalamus,4,0.005088001070361008,-1.0,-1.205030903214717
Right thalamus,5,0.003270609348077571,-1.0,-1.2443676114505673
Left caudate,1,0.5090779436820998,1.0,0.17583012008582277
Left caudate,2,0.2758040521360675,1.0,0.33197346672142963
Left caudate,3,0.8259383596294033,1.0,0.05227202858704896
Left caudate,4,0.3473777346274928,-1.0,-0.2721113779903369
Left caudate,5,0.01876539763116731,-1.0,-0.9031562486348953
Right caudate,1,0.5407870757866987,1.0,0.16140636355987145
Right caudate,2,0.09097281013426914,1.0,0.5881406409515524
Right caudate,3,0.9183884322308087,-1.0,-0.021856062801292573
Right caudate,4,0.5865944996790219,-1.0,-0.1400580190929594
Right caudate,5,0.00041650929450444727,-1.0,-1.5172216945443426
Left putamen,1,0.19062962666832495,1.0,0.41648781021172815
Left putamen,2,0.44282280223393033,1.0,0.2139910847949604
Left putamen,3,0.5827605662353564,-1.0,-0.140447673255839
Left putamen,4,0.5870959720659753,1.0,0.1400580190929594
Left putamen,5,2.0410210811222265e-05,-1.0,-2.587490167660288
Right putamen,1,0.767850649597492,1.0,0.06739083185763453
Right putamen,2,0.11741125884724372,1.0,0.5369722302059472
Right putamen,3,0.631453309680696,-1.0,-0.11123685332797793
Right putamen,4,0.24122060722506952,1.0,0.36410645221105864
Right putamen,5,1.3042893032523646e-06,-1.0,-3.3048424708287696
Left pallidum,1,0.09908095103533879,1.0,0.5694567992295162
Left pallidum,2,0.25003668055689166,1.0,0.3546511386471138
Left pallidum,3,0.6343741608770069,-1.0,-0.11063130728249622
Left pallidum,4,0.5536300045166407,-1.0,-0.1562691651695037
Left pallidum,5,7.516348419023927e-05,-1.0,-2.1462694911708624
Right pallidum,1,0.035520427488528905,1.0,0.7888163118849078
Right pallidum,2,0.1435349179277872,1.0,0.4781026861194543
Right pallidum,3,0.42963058745569993,-1.0,-0.22235299089626626
Right pallidum,4,0.11782259069289998,-1.0,-0.5369722302059472
Right pallidum,5,0.0007753908022216406,-1.0,-1.5172216945443426
Left hippocampus,1,0.09705675981785737,1.0,0.5730697012258664
Left hippocampus,2,0.7957098848796069,1.0,0.058537748963444936
Left hippocampus,3,0.6795607456791257,1.0,0.09381142042402084
Left hippocampus,4,0.13047050649708114,-1.0,-0.5061011793489911
Left hippocampus,5,0.02579852639551926,-1.0,-0.8479028338775723
Right hippocampus,1,0.2008673696168151,1.0,0.40286431992511484
Right hippocampus,2,0.11295422921169292,1.0,0.5375756224423898
Right hippocampus,3,0.8208838006440683,-1.0,-0.05227202858704896
Right hippocampus,4,0.026832599417831275,-1.0,-0.8479028338775723
Right hippocampus,5,0.08354805578475702,-1.0,-0.5947274297472924
Left amygdala,1,0.12517791103876008,1.0,0.5185883559941366
Left amygdala,2,0.5019463616715372,-1.0,-0.17779229181865336
Left amygdala,3,0.22845259725144174,-1.0,-0.37739064897603825
Left amygdala,4,0.37343374623644165,1.0,0.2545430223678557
Left amygdala,5,0.1734644492042034,-1.0,-0.4330901268150089
Right amygdala,1,0.4051315326721294,1.0,0.23377552027911844
Right amygdala,2,0.24269881281330186,-1.0,-0.36352835488180585
Right amygdala,3,0.27044071148397564,1.0,0.33552767505446307
Right amygdala,4,0.7266035548864167,1.0,0.08266535188994407
Right amygdala,5,0.047043989549747936,-1.0,-0.729204567607109
Left accumbens,1,0.2736866195039582,1.0,0.33321085637754344
Left accumbens,2,0.22305874218967484,1.0,0.37929319237676273
Left accumbens,3,0.8094450659677803,1.0,0.05485445020739961
Left accumbens,4,0.32142400935744564,-1.0,-0.2969534552996865
Left accumbens,5,0.000499093043248852,-1.0,-1.5172216945443426
Right accumbens,1,0.0008798069614473508,1.0,1.5172216945443426
Right accumbens,2,0.38146044296939174,1.0,0.24957503846700851
Right accumbens,3,0.5564843767810095,-1.0,-0.15620605579884916
Right accumbens,4,0.0032981581203054312,-1.0,-1.2443676114505673
Right accumbens,5,0.004170484162360644,-1.0,-1.241896300740767
Left caudalanteriorcingulate,1,0.8657553658724448,-1.0,-0.03791566001425642
Left caudalanteriorcingulate,2,0.7711412166776372,1.0,0.06710859311605055
Left caudalanteriorcingulate,3,0.31790336064169306,1.0,0.2969534552996865
Left caudalanteriorcingulate,4,0.8723835099721431,1.0,0.035811456317391695
Left caudalanteriorcingulate,5,0.027060994001873808,-1.0,-0.8479028338775723
Left caudalmiddlefrontal,1,0.5245704169362284,1.0,0.17023462438345854
Left caudalmiddlefrontal,2,0.0289372457853496,1.0,0.8292127087884265
Left caudalmiddlefrontal,3,0.9780439341030258,-1.0,-0.006199389690995701
Left caudalmiddlefrontal,4,0.03184571196230139,-1.0,-0.8092600433892034
