,1_mean,1_std,2_mean,2_std,3_mean,3_std,4_mean,4_std,5_mean,5_std
Left caudalanteriorcingulate,3107.5134843581445,578.7199227675164,3115.6061046511627,586.9565426017493,3133.5458248472505,550.8401629698908,3114.070953436807,573.3216117590349,3005.9078014184397,575.8812241216466
Right caudalanteriorcingulate,2226.435814455232,577.6781745570523,2245.702034883721,571.6013384578957,2255.9735234215887,539.2578699638682,2264.1884700665187,561.2804072041082,2145.794326241135,569.4135017433101
Left caudalmiddlefrontal,7146.588996763754,1112.1827867739607,7210.388081395349,1224.7564635571982,7125.613034623218,1143.1770627907888,7019.809312638581,1143.272258427912,6937.446808510638,1248.6115455950712
Right caudalmiddlefrontal,6593.046386192017,1124.1540515157617,6664.934593023256,1142.5377573678636,6580.395112016293,1129.6986643080197,6551.512195121952,1106.1954927517472,6437.290780141844,1191.7772595042793
Left cuneus,4407.710895361381,726.806927193736,4397.545058139535,723.5559071732035,4384.714867617108,704.242583555403,4360.079822616408,677.5123207184512,4216.404255319149,610.9942480290794
Right cuneus,4002.5307443365696,624.8430704702362,4024.3095930232557,669.3713458364559,3960.3116089613036,622.3354127534426,3981.968957871397,588.7457658548575,3881.3120567375886,639.6632052969278
Left entorhinal,1823.0819848975189,367.19586785018464,1785.8299418604652,364.4055179583354,1816.5050916496946,392.42568186899894,1773.6607538802662,386.21809352674074,1744.758865248227,349.14165976228094
Right entorhinal,1733.3085221143474,352.4105017316463,1705.078488372093,313.8859919712733,1739.745417515275,354.64397547569143,1701.0532150776053,352.50158935130486,1686.049645390071,330.89111990504705
Left fusiform,9156.899676375404,1228.7747544003864,9203.693313953489,1319.2793113817668,9097.828920570264,1336.7082608982898,9085.219512195123,1307.5561864012593,8826.035460992907,1163.302426047423
Right fusiform,8971.996763754045,1282.8836666468796,8952.49273255814,1339.9815245438526,8904.771894093687,1330.5579928553666,8817.853658536585,1301.014194423774,8664.794326241135,1257.017220689691
Left inferiorparietal,12686.812297734628,1792.610397159435,12739.79941860465,1890.107007098286,12531.45417515275,1783.0716856484216,12485.150776053215,1796.3790157778988,12316.446808510638,1789.5635199101805
Right inferiorparietal,15162.697950377562,2202.4398417209222,15151.29215116279,2172.8093280244243,14980.13849287169,2254.7992347310765,14914.172949002217,2324.600055689378,14630.985815602837,2152.5681040688373
Left inferiortemporal,12632.049622437971,1680.209068459534,12594.773255813954,1752.6907683871061,12552.254582484726,1752.5337512702013,12442.368070953436,1713.5202731350848,12285.7304964539,1826.370310907217
Right inferiortemporal,12819.40021574973,1721.8257753215057,12768.03488372093,1742.002193082073,12808.474541751528,1783.496286781333,12576.552106430156,1694.8004494305508,12408.503546099291,1732.5891921964385
Left insula,6432.533980582524,665.3675032197115,6418.888081395349,690.5139705297426,6361.34215885947,684.8217085375653,6375.60088691796,692.2353070703401,6281.50354609929,726.0760647294812
Right insula,6638.850053937433,687.4976631866805,6648.270348837209,709.7302434785875,6599.782077393075,728.1316651544367,6583.607538802661,713.0606854872061,6470.184397163121,698.8895335033477
Left isthmuscingulate,2740.063646170442,441.27494361044063,2758.2572674418607,459.0911936752165,2733.924643584521,435.65326554406676,2722.5055432372505,454.7498817693131,2698.1631205673757,429.49028966427966
Right isthmuscingulate,2586.8522114347356,410.92753528823476,2607.591569767442,421.2747554154778,2564.492871690428,405.8002140519319,2575.6186252771618,410.2676156514525,2521.191489361702,440.0615040600837
Left lateraloccipital,12672.375404530745,1750.5078798225877,12630.789244186046,1873.6048420061647,12457.417515274949,1720.2510551289256,12430.343680709535,1747.6721671535859,12221.673758865249,1795.414446768107
Right lateraloccipital,12955.004314994607,1867.015439167376,12964.290697674418,1926.3132951327102,12818.696537678208,1837.0875818079242,12833.317073170732,1822.8546170215402,12474.609929078015,1832.6584350650278
Left lateralorbitofrontal,9298.451995685005,1034.7185370847635,9241.02761627907,1083.6645189491276,9198.975560081466,936.1621978193523,9120.144124168515,1053.8998008791802,8933.0,1006.0389441482158
Right lateralorbitofrontal,9254.32470334412,1022.2705043611061,9255.76308139535,1007.8631930901303,9198.934826883911,925.2367859253714,9093.647450110864,969.731925092437,8945.283687943262,1074.62402944499
Left lingual,6653.680690399137,1171.117848280839,6590.1875,1165.6622551909525,6602.10183299389,1104.541176243349,6589.050997782705,1098.6986057524311,6438.687943262411,1117.7532767293999
Right lingual,6674.928802588996,1152.91837479621,6693.393895348837,1163.3041209453297,6654.69450101833,1093.4721333805926,6644.9645232815965,1070.9980303253722,6529.184397163121,1206.0765114490448
Left medialorbitofrontal,5081.26213592233,611.424909871536,5044.5566860465115,642.9253645941282,5030.4847250509165,610.2371112191203,4976.312638580931,655.3391063122464,4795.382978723404,584.6564761779163
Right medialorbitofrontal,4921.140237324704,573.8592927466186,4923.639534883721,570.5220758366492,4864.150712830958,568.8088392479794,4848.563192904657,565.1696676397321,4759.021276595745,599.0249633253443
Left middletemporal,14203.93851132686,1975.0046634428759,14182.376453488372,2020.5521373105705,14045.144602851324,2020.5401100176657,13953.875831485588,1993.6440510596913,13642.581560283688,2203.2759316073884
Right middletemporal,14366.869471413162,1825.591605405149,14467.25,1935.5924627747734,14236.374745417515,1876.6456935924991,14259.780487804877,1831.581682752971,13943.205673758865,1946.2637595356557
Left paracentral,4645.081984897519,607.535768769093,4676.745639534884,613.570337989644,4626.511201629328,599.168734859765,4542.60088691796,598.9313263539492,4549.517730496454,583.8133826444993
Right paracentral,4517.302049622438,641.1176807651992,4523.704941860465,618.5426586167457,4469.816700610998,631.7195959960549,4413.842572062084,637.6837910623037,4373.425531914893,558.1217255100559
Left parahippocampal,2169.474649406688,324.038819825745,2153.9287790697676,342.8854305755522,2157.6272912423624,337.707266044695,2110.756097560976,327.92754338837915,2133.248226950355,329.4240679044125
Right parahippocampal,2066.669902912621,280.6649135998594,2057.079941860465,276.8524023690639,2064.6598778004072,278.5962926617708,2023.031042128603,274.24742099632186,2004.8297872340424,278.4942153142966
Left parsopercularis,4559.354908306364,744.7843979233378,4569.155523255814,726.4053371008332,4503.097759674134,701.264204348898,4504.5210643015525,748.5873697243798,4415.858156028369,742.5156812347012
Right parsopercularis,4677.87594390507,724.2405471406739,4704.167151162791,733.6878134033295,4622.95315682281,752.6205157038848,4626.625277161863,768.6016880194264,4505.177304964539,707.6490482444361
Left parsorbitalis,2286.9870550161813,327.8768697741492,2275.4651162790697,331.1865377681012,2241.908350305499,304.4542822010198,2241.0243902439024,330.85991238893894,2224.624113475177,328.98342422436264
Right parsorbitalis,2342.732470334412,345.54763192876874,2351.5,367.61795876956006,2320.077393075356,336.8704985207197,2278.266075388027,359.67502638092446,2265.503546099291,382.36438537293327
Left parstriangularis,4519.047464940669,770.4375421693543,4521.4375,737.3048023944483,4482.242362525459,735.5068669595212,4499.866962305987,769.5423315448077,4444.0,852.1546975587406
Right parstriangularis,4190.083063646171,747.756379607802,4213.863372093023,722.3088759734366,4144.608961303462,730.7711734880926,4171.740576496674,737.9647727928638,4159.7163120567375,659.9598075017375
Left pericalcarine,2140.846817691478,430.44302137726555,2125.968023255814,446.11764575308297,2114.244399185336,416.64297022382897,2113.9068736141908,402.1401250771836,2035.9148936170213,425.7859537601643
Right pericalcarine,2326.5652642934197,462.8869728969018,2341.1831395348836,476.4320891294827,2322.6782077393077,416.3141208976968,2329.711751662971,442.98206266097225,2227.581560283688,445.54434052272944
Left postcentral,11650.53182308522,1488.3164335891734,11695.084302325582,1572.0142462947986,11620.154786150713,1543.6190871443755,11608.91352549889,1582.2359675313874,11421.54609929078,1540.530434971656
Right postcentral,10867.199568500539,1488.540641698053,10966.877906976744,1496.0227250296764,10814.181262729124,1431.7467417050032,10871.168514412417,1518.6394606817596,10501.971631205673,1496.1044126247268
Left posteriorcingulate,3610.804746494067,538.7661807055517,3627.203488372093,542.8092508798993,3604.5132382892057,537.029772792167,3593.3414634146343,560.3245000585407,3529.5390070921985,550.5783649650415
Right posteriorcingulate,3637.990291262136,553.8909773668881,3658.813953488372,556.2157150496471,3595.1690427698572,559.6697549729934,3565.8048780487807,541.2621439833797,3541.418439716312,555.8081266566261
Left precentral,14116.512405609494,1649.982615788825,14136.678779069767,1794.953689707706,13988.688391038697,1623.723793569502,13874.578713968958,1725.9074598313357,13856.978723404256,1792.688728729977
Right precentral,13590.946062567422,1652.7000231191578,13607.577034883721,1687.844139653587,13483.857433808555,1669.8840935094422,13350.534368070954,1676.6967434130027,13307.09219858156,1916.5819534514683
Left precuneus,10413.625674217907,1350.4106395337824,10444.497093023256,1401.0686117111645,10260.887983706722,1284.0547375635492,10318.416851441241,1318.6796120294202,10092.283687943262,1403.7424637947618
Right precuneus,11122.990291262136,1441.8074812819445,11197.168604651162,1373.4915231820955,11006.207739307536,1422.4828013096026,11013.855875831485,1380.0610370011648,10788.517730496455,1396.9832630290828
Left rostralanteriorcingulate,3775.070118662352,639.885806195193,3768.1686046511627,624.1386990372378,3740.215885947047,659.3742412566902,3741.421286031042,667.7489580767348,3585.6028368794327,650.3370431600682
Right rostralanteriorcingulate,2681.4487594390507,510.7698941701398,2672.204941860465,532.8701856865254,2672.987780040733,506.5870594774007,2649.19955654102,556.3849347747001,2606.368794326241,534.2015458520115
Left rostralmiddlefrontal,11774.111111111111,1806.18971146945,11758.607558139534,1765.1148384941814,11614.541751527495,1703.9579027891923,11479.133037694013,1760.1218796295136,11482.886524822696,1873.0142974520986
Right rostralmiddlefrontal,11806.445523193095,1901.40894474619,11867.607558139534,1905.1497322369821,11755.806517311608,1855.1340831782709,11584.237250554324,1768.2513820873319,11431.148936170213,2014.9478048403646
Left superiorfrontal,25631.59331175836,2924.464625032308,25674.616279069767,3144.746230461136,25482.31568228106,3071.8929841815407,25340.77605321508,3077.282253468824,24917.163120567377,2968.5125920089863
Right superiorfrontal,28459.48867313916,3421.630420419895,28571.511627906977,3551.07310510876,28276.61914460285,3536.955236132941,28137.29046563193,3511.6176541268806,27715.751773049644,3480.820833317559
Left superiorparietal,11546.374325782093,1696.317679146269,11504.008720930233,1624.2054754297035,11441.301425661915,1631.1543248283194,11399.427937915743,1592.01260073739,11027.063829787234,1477.7302876504607
Right superiorparietal,11589.659115426106,1654.2801036130543,11683.86191860465,1529.659883556745,11514.837067209775,1672.9705579251665,11477.89800443459,1588.0199979906524,11217.851063829787,1586.3895888650977
Left superiortemporal,17458.834951456312,2051.458839230721,17351.497093023256,2075.0698295870834,17218.875763747455,2042.4585172624516,17194.926829268294,2132.6522457496008,16739.76595744681,1991.0792430176357
Right superiortemporal,16516.50377562028,1810.6740907139256,16479.27034883721,1791.231325620779,16317.812627291243,1788.9629801680233,16261.629711751662,1877.2916574220317,15981.382978723404,1806.0041712480481
Left supramarginal,10979.254584681768,1763.062360666932,11094.18023255814,1775.8957998085164,10841.73116089613,1741.1998294122886,10839.414634146342,1749.904944379306,10555.156028368794,1685.7784521600015
Right supramarginal,10314.212513484357,1512.7698813661357,10472.053779069767,1520.664000667478,10236.183299389002,1532.0816261511366,10180.110864745011,1458.8609593764606,10074.496453900709,1567.2312238198629
Left transversetemporal,1261.6537216828478,236.02643774350338,1236.9462209302326,225.16600057923435,1244.3238289205703,236.1090353067259,1246.0332594235033,253.02644789783733,1221.77304964539,225.60469121244313
Right transversetemporal,986.8608414239483,175.76984340153237,983.7252906976744,171.3861846223065,980.152749490835,175.64746431991756,982.7827050997782,191.53706171739412,955.9007092198582,163.3927916299745
Left accumbens,497.1348435814455,121.85707621781576,498.4796511627907,124.19698231042659,494.76985743380857,124.72784244669748,488.3370288248337,118.9260906951935,458.59574468085106,119.56593988993235
Right accumbens,399.77238403452,113.42675857357892,392.86773255813955,117.79464876440504,386.75356415478615,120.2797519837436,374.92239467849225,110.10871681926966,362.35460992907804,114.77463226140001
