protein,subtype,beta,pvalue,qvalue,p_corrected
A1BG,1,0.021234941663160735,5.8179028114393895e-59,5.1532514902537384e-58,1.7005729917837336e-55
A1BG,2,0.016174075135580866,1.1603508399498071e-30,7.155496846357144e-30,3.391705505173286e-27
A1BG,3,0.018083373500413124,1.6236003430958667e-26,1.177613846865811e-25,4.745783802869218e-23
A1BG,4,0.004641165764944199,0.0015712452794345222,0.002421059542323199,1.0
A1BG,5,0.0010776972805988097,0.6253743834138237,0.6877235977120416,1.0
AAMDC,1,0.007524228149061987,4.1633291313642387e-10,1.1895807478961554e-09,1.216941105097767e-06
AAMDC,2,0.004643308015159391,0.0009956514347588415,0.0022665803300623783,1.0
AAMDC,3,0.006246869545121365,0.0001292041991652734,0.0003080455743557048,0.3776638741600941
AAMDC,4,-0.014107546160802134,1.1600053149773553e-18,3.481206915481324e-18,3.3906955356788094e-15
AAMDC,5,-0.0036355546087118323,0.11902119517398826,0.173170210798192,1.0
AARSD1,1,0.013597224444708084,4.271869630020202e-26,2.040306360874028e-25,1.248667492854905e-22
AARSD1,2,0.007859226522932115,1.9417830153842026e-08,6.155999733154039e-08,5.675831753968024e-05
AARSD1,3,0.013920597539392704,4.1663188278543673e-16,2.057119921253094e-15,1.2178149933818316e-12
AARSD1,4,0.0029336636864658893,0.04947717434644604,0.0660373427464209,1.0
AARSD1,5,0.005110883316545651,0.02422814141735689,0.04583744813134899,1.0
ABCA2,1,0.009504818226877102,8.833650784295657e-14,2.930846906072214e-13,2.5820761242496205e-10
ABCA2,2,0.012709050950161003,8.394475056872569e-20,3.944863439105871e-19,2.4537050591238517e-16
ABCA2,3,0.012427284830329807,9.876281691025399e-14,4.354203828486763e-13,2.8868371382867243e-10
ABCA2,4,0.011568587968343187,1.9335115273890457e-14,4.9359425279984115e-14,5.6516541945581807e-11
ABCA2,5,0.018156698545700057,5.809147666242582e-16,4.5645533947384585e-15,1.6980138628427068e-12
ABHD14B,1,0.009811792167724081,5.967171522638238e-16,2.1480347734817207e-15,1.744204236067157e-12
ABHD14B,2,0.005747450900060575,2.4789025532408103e-05,6.545467175359429e-05,0.07245832163122888
ABHD14B,3,0.010633769002411928,3.064281465691712e-10,1.1497939312216783e-09,8.956894724216874e-07
ABHD14B,4,-0.009678572785377091,7.050731068284468e-10,1.47630995075899e-09,2.06092869125955e-06
ABHD14B,5,0.003060375474244307,0.187988397653194,0.254983798765794,1.0
ABL1,1,0.007624230280110894,2.1116509502242505e-11,6.363253327325242e-11,6.172355727505484e-08
ABL1,2,0.004832742966792846,0.00033824926168311517,0.0008130777893912382,0.9887025918997456
ABL1,3,0.007708155616240227,4.4143969162565534e-06,1.2442895068676863e-05,0.012903282186217906
ABL1,4,-0.014403615880388666,3.0087507090995123e-19,9.22830883808801e-19,8.794578322697874e-16
ABL1,5,0.0005291197367196604,0.8166054345234697,0.8527823097935341,1.0
ABO,1,0.0013454092513206415,0.3111148517685242,0.37193812340261606,1.0
ABO,2,0.0001522329635920893,0.9166602138301978,0.9377851439068308,1.0
ABO,3,0.0006439183949033409,0.6940119807136993,0.7499434453331397,1.0
ABO,4,-0.00183427287153151,0.2278652942298217,0.27556899256672274,1.0
ABO,5,-0.002224216626031856,0.32440486537586233,0.40247683425027403,1.0
ABRAXAS2,1,0.001724282808617915,0.15034647681121444,0.19450436229746262,1.0
ABRAXAS2,2,-0.0017903540392413648,0.20181125725655874,0.28497309418401995,1.0
ABRAXAS2,3,0.004106486068854366,0.010852349111927498,0.019029044063685708,1.0
ABRAXAS2,4,-0.016621306808646673,7.793570989533423e-25,3.2919953760702596e-24,2.2780608002406197e-21
ABRAXAS2,5,-0.007959099482884355,0.0007450777994416846,0.002204314177902879,1.0
ACAA1,1,0.004243364174358299,0.0002941022447957108,0.0005792862948368347,0.8596608615378627
ACAA1,2,0.002879824174151614,0.03111159095005537,0.05630908999814974,1.0
ACAA1,3,0.005820267092892987,0.0002676351648828357,0.0006092660334521252,0.7822975869525287
ACAA1,4,-0.014359299861195253,2.293771096459665e-21,7.878605070448415e-21,6.7046929149516006e-18
ACAA1,5,-0.004365213185030732,0.10162262248091652,0.15240786326922473,1.0
ACADM,1,-0.0014024515528405347,0.2830982775556996,0.341799366086456,1.0
