feature,subtype,p_value,sign,signed_log10FDR
Age at menopause,1,0.8896856110392211,1.0,0.0259398495313623
Age at menopause,2,0.1662618068792914,-1.0,-0.45306946398386294
Age at menopause,3,0.002304695651574807,1.0,1.950315636556292
Age at menopause,4,0.3951633266844953,-1.0,-0.20864870236505695
Age at menopause,5,0.3186890372647067,-1.0,-0.2625496697377453
Age-related macular degeneration,1,0.052791683414486576,-1.0,-0.8215025334013047
Age-related macular degeneration,2,0.3819847967405615,1.0,0.2157598603455651
Age-related macular degeneration,3,0.2923583366934161,-1.0,-0.2910801787525918
Age-related macular degeneration,4,0.6950825757243079,-1.0,-0.07587736152301182
Age-related macular degeneration,5,0.00023791365211016578,1.0,2.8154661625286908
Alzheimer's disease,1,0.4859422696736725,1.0,0.1484892490934381
Alzheimer's disease,2,0.5498114989597824,-1.0,-0.12178497195559727
Alzheimer's disease,3,0.2353202090097712,1.0,0.34619612304347747
Alzheimer's disease,4,0.7908910071179966,1.0,0.05019177156689753
Alzheimer's disease,5,0.032120861976230465,-1.0,-1.0046182791242724
Asthma,1,0.057730055533611935,-1.0,-0.7895054936107805
Asthma,2,0.4630028608228567,-1.0,-0.16192919074866402
Asthma,3,0.6340460815637676,1.0,0.09776198953019871
Asthma,4,0.09675156631260674,1.0,0.6186668782438272
Asthma,5,0.2896033953289698,1.0,0.2910801787525918
Atrial fibrillation,1,0.10667623138948472,-1.0,-0.5858915499013667
Atrial fibrillation,2,0.316835454475838,-1.0,-0.2625496697377453
Atrial fibrillation,3,0.4222309520049383,-1.0,-0.183635417652597
Atrial fibrillation,4,0.001752360440245564,1.0,2.0451720988819995
Atrial fibrillation,5,0.54087015233185,1.0,0.12557783143948134
Bipolar disorder,1,0.4472548860882113,-1.0,-0.16971936252313508
Bipolar disorder,2,0.08847404896461677,-1.0,-0.6367606826673062
Bipolar disorder,3,0.9382516487290318,-1.0,-0.01544620733955074
Bipolar disorder,4,0.7272557316170385,1.0,0.06958009625074942
Bipolar disorder,5,0.0010724059415753498,1.0,2.232882223284851
Body mass index,1,8.959717573879532e-20,-1.0,-17.39449316607579
Body mass index,2,8.92022396381676e-06,-1.0,-4.136774417191577
Body mass index,3,0.00011153784841530395,-1.0,-3.1122785802480406
Body mass index,4,5.597572276690407e-38,1.0,35.2977577805981
Body mass index,5,3.999708425531225e-14,1.0,11.920850412401952
Bowel cancer,1,0.6683329177883488,-1.0,-0.08408749847294628
Bowel cancer,2,0.5350102344690405,-1.0,-0.12695511526646003
Bowel cancer,3,0.10951919544297652,1.0,0.5802985135930587
Bowel cancer,4,0.7092357105369154,1.0,0.07291384766555221
Bowel cancer,5,0.292741666516187,-1.0,-0.2910801787525918
Breast cancer,1,0.4296663344283841,-1.0,-0.17978202982596975
Breast cancer,2,0.8846920997726664,-1.0,-0.0259398495313623
Breast cancer,3,0.7853982686242065,1.0,0.05019177156689753
Breast cancer,4,0.4893954541097807,1.0,0.1484892490934381
Breast cancer,5,0.9122901362336431,1.0,0.019391584230850693
Cardiovascular disease,1,0.00020087727875186693,-1.0,-2.8731604426196973
Cardiovascular disease,2,1.5447121996594968e-05,-1.0,-3.917607754430264
Cardiovascular disease,3,0.32414741919930834,1.0,0.259290791979633
Cardiovascular disease,4,2.0194586241998928e-08,1.0,6.518673781415906
Cardiovascular disease,5,0.003963030871102134,1.0,1.7377646465213559
Coeliac disease,1,0.6999597890404051,1.0,0.07574566236593125
Coeliac disease,2,0.17224265176785433,-1.0,-0.45306946398386294
Coeliac disease,3,0.12769752391551561,-1.0,-0.5361721099123956
Coeliac disease,4,0.48412068685948195,1.0,0.1484892490934381
Coeliac disease,5,0.016626662218279575,1.0,1.2138444221078453
Coronary artery disease,1,0.02314534725794794,-1.0,-1.1045396634538647
Coronary artery disease,2,3.3172899245387213e-06,-1.0,-4.479216570348194
Coronary artery disease,3,0.02896428321531677,1.0,1.0232273989918865
Coronary artery disease,4,1.441202993846527e-06,1.0,4.790122321930512
Coronary artery disease,5,0.5156941791959564,1.0,0.13954523512998082
Crohn's disease,1,0.13713294765053535,-1.0,-0.5106756706896517
Crohn's disease,2,0.18815264199503223,-1.0,-0.41960718058220037
Crohn's disease,3,0.06479234577064112,-1.0,-0.7461171479207656
Crohn's disease,4,0.032431066251636796,1.0,1.0046182791242724
Crohn's disease,5,0.00027843888889645405,1.0,2.7623956007449024
Epithelial ovarian cancer,1,0.007394669587955724,-1.0,-1.519261397963211
Epithelial ovarian cancer,2,0.00036072028940259887,1.0,2.6646781788871996
Epithelial ovarian cancer,3,0.013577483199940088,-1.0,-1.2651207345800721
Epithelial ovarian cancer,4,0.5756957282669677,1.0,0.11163928631282397
Epithelial ovarian cancer,5,0.1535673692224065,1.0,0.47750664288029915
Estimated bone mineral density t-score,1,0.5911756125435998,-1.0,-0.10846699020651798
Estimated bone mineral density t-score,2,0.5128055348222647,1.0,0.13954523512998082
Estimated bone mineral density t-score,3,0.11795806230663866,-1.0,-0.5544636100813569
Estimated bone mineral density t-score,4,0.4469540151927379,1.0,0.16971936252313508
Estimated bone mineral density t-score,5,0.3891944072968927,1.0,0.21146575538081358
Glycated haemoglobin,1,2.0228417527666883e-05,-1.0,-3.818976827435297
Glycated haemoglobin,2,0.37009059292210444,-1.0,-0.22563747136380097
Glycated haemoglobin,3,0.3344921066720963,1.0,0.2497253988164752
Glycated haemoglobin,4,0.000959345136167435,1.0,2.267902595172866
Glycated haemoglobin,5,0.04301804138859139,1.0,0.902890959772666
Height,1,1.001081241727401e-06,1.0,4.920349430317012
