Indicator,Subtype,Coefficient,P-value
Duration of walks,1,0.018896427527308746,0.13484229911637058
Duration of walks,2,0.001770365152745638,0.8958780501980925
Duration of walks,3,-0.0021132665563699565,0.888045943329304
Duration of walks,4,-0.013354252560349876,0.3384381450834695
Duration of walks,5,-0.019298382658878944,0.3259631075959978
Usual walking pace,1,0.2962900286931761,2.2088650458300496e-124
Usual walking pace,2,0.11854275472408328,1.0365007835751782e-18
Usual walking pace,3,0.06084689068809139,4.448999493269257e-05
Usual walking pace,4,-0.3064695779154074,2.524491445455134e-109
Usual walking pace,5,-0.46252771224792777,2.0784694624193442e-125
IPAQ activity group,1,0.147594034718625,1.5680805203611355e-31
IPAQ activity group,2,0.08716188560295095,1.193398075960433e-10
IPAQ activity group,3,-0.010865964086148984,0.4695201904240903
IPAQ activity group,4,-0.17790022622356297,2.7906381045566574e-37
IPAQ activity group,5,-0.16911675300233336,7.560641707630454e-18
Summed minutes activity,1,0.10146241146318426,9.648726438501309e-16
Summed minutes activity,2,0.057179925515019166,2.371581627677553e-05
Summed minutes activity,3,0.0034544007717793863,0.818034700341646
Summed minutes activity,4,-0.11909304594436,1.3405147715813578e-17
Summed minutes activity,5,-0.1355459230708346,5.182015443965756e-12
MET minutes per week for walking,1,0.05429574475169262,1.762459796281908e-05
MET minutes per week for walking,2,0.015342388729483859,0.25716509247275604
MET minutes per week for walking,3,0.004742462842102828,0.7522813263310971
MET minutes per week for walking,4,-0.05248021656427373,0.00017072273845410868
MET minutes per week for walking,5,-0.0676245346851214,0.0005834649808928221
MET minutes per week for moderate activity,1,0.08072799949169358,1.4642610175665958e-10
MET minutes per week for moderate activity,2,0.05092267613941925,0.00015937979861765307
MET minutes per week for moderate activity,3,-0.008494477765717564,0.5703386990715889
MET minutes per week for moderate activity,4,-0.09392315892559273,1.4276701931811184e-11
MET minutes per week for moderate activity,5,-0.10168808747682237,2.0763125097003721e-07
MET minutes per week for vigorous activity,1,0.10115969249337638,8.541931675896089e-16
MET minutes per week for vigorous activity,2,0.06466022910228691,1.562797528571552e-06
MET minutes per week for vigorous activity,3,-0.006272923311267609,0.6746137026529161
MET minutes per week for vigorous activity,4,-0.12263929111153558,9.78670275131744e-19
MET minutes per week for vigorous activity,5,-0.12689699796741005,8.511695909685853e-11
Summed MET minutes per week for all activity,1,0.10354586135283149,2.40941625236239e-16
Summed MET minutes per week for all activity,2,0.0579898561744758,1.8001285747183862e-05
Summed MET minutes per week for all activity,3,-0.004707245797977648,0.7537898989313502
Summed MET minutes per week for all activity,4,-0.11829891790200439,2.1270887759799995e-17
Summed MET minutes per week for all activity,5,-0.12988444559100823,3.7206273218323925e-11
Sleep duration,1,-0.016210122383316837,0.19876855108911196
Sleep duration,2,0.020549035515009702,0.1280418839540794
Sleep duration,3,-0.002087665610597993,0.8891907918490198
Sleep duration,4,-0.006871117521944261,0.6217024190933149
Sleep duration,5,0.013037044812194197,0.5061787341967585
Getting up in morning,1,0.06451190373585926,1.5998053125269706e-07
Getting up in morning,2,0.018617192256472653,0.1577764046046314
Getting up in morning,3,0.02163314007438262,0.13909085882408834
Getting up in morning,4,-0.05595892816331845,3.8271822328504844e-05
Getting up in morning,5,-0.12125581320629192,2.345457245838255e-10
Chronotype,1,-0.05107747452362285,4.9962219748038146e-05
Chronotype,2,-0.04047226512511786,0.002681408489438086
Chronotype,3,0.0010805359816999096,0.9424248210764623
Chronotype,4,0.05240928241855896,0.00016337391636954177
Chronotype,5,0.10301894710062275,1.422190097776842e-07
Nap during day,1,-0.13474786862637453,1.774316289091245e-27
Nap during day,2,-0.07467027444702641,1.926183831812181e-08
Nap during day,3,-0.000904501112566335,0.9511078988475407
Nap during day,4,0.1469384751415055,7.49474432289157e-27
Nap during day,5,0.19328981699475556,1.2479133588229348e-23
Sleeplessness,1,-0.05762994199763196,3.8539996776218995e-06
Sleeplessness,2,-0.062186998362535176,3.2172202471689557e-06
Sleeplessness,3,0.002853970840721742,0.8473168464240307
Sleeplessness,4,0.08312723041725911,1.5759491044310947e-09
Sleeplessness,5,0.1006968332262436,2.0822555686963632e-07
Snoring,1,0.11074922168470928,3.9805945988789453e-19
Snoring,2,0.08030213990835726,1.4312800118513995e-09
Snoring,3,-0.003952843470540143,0.7884084170571675
Snoring,4,-0.18021046573021385,1.0795628133631473e-39
Snoring,5,-0.07285924242968748,0.00015676106500543514
Daytime dozing,1,-0.06794340295678908,6.486955371455844e-08
Daytime dozing,2,-0.02245405377519995,0.09525193882491433
Daytime dozing,3,-0.04257896134828624,0.004358002555431206
Daytime dozing,4,0.039881371330040424,0.004060291458628128
Daytime dozing,5,0.20540745619319983,7.170334447000994e-26
Cooked vegetable intake,1,0.012554582153330497,0.31994167227343256
Cooked vegetable intake,2,-0.019348855837481506,0.15214738802880845
Cooked vegetable intake,3,0.04797558800175535,0.001374848878852687
Cooked vegetable intake,4,-0.004133163152684515,0.7667635692561299
Cooked vegetable intake,5,-0.06351099633230856,0.0012094391936594438
Raw vegetable intake,1,0.0608860631368865,1.3662514177640807e-06
Raw vegetable intake,2,-0.013961575792160064,0.30091803346618157
Raw vegetable intake,3,0.038848550309951616,0.009485431676337287
Raw vegetable intake,4,-0.05231726883258571,0.00017042481553801109
Raw vegetable intake,5,-0.08048591276335136,4.013977968346241e-05
Fresh fruit intake,1,0.06476942167575742,2.384664086845129e-07
Fresh fruit intake,2,0.06485833444729729,1.3441006587488938e-06
Fresh fruit intake,3,-0.0386590369404644,0.009439868863304604
Fresh fruit intake,4,-0.09604362432386462,3.882912350732315e-12
Fresh fruit intake,5,-0.036638122562172186,0.06016755015723976
Dried fruit intake,1,0.08354108603556956,2.9577632824053423e-11
Dried fruit intake,2,0.07671075123639776,1.1781558060392545e-08
Dried fruit intake,3,-0.06149098283382692,3.80500293969155e-05
Dried fruit intake,4,-0.09407166070742766,1.1836221359749565e-11
Dried fruit intake,5,-0.0718081629350654,0.00023770959961923681
Oily fish intake,1,0.10240694677017033,2.1841415339558858e-16
Oily fish intake,2,-0.031035746558453182,0.020141529532995667
Oily fish intake,3,0.09233763875920876,4.6101793377032755e-10
Oily fish intake,4,-0.07592948329528658,3.513305999008877e-08
Oily fish intake,5,-0.18961296550918924,1.3421691554915983e-22
Non-oily fish intake,1,0.0644215139016359,3.303034687083461e-07
Non-oily fish intake,2,-0.03395898609763409,0.011946456806819838
Non-oily fish intake,3,0.04925742911959025,0.0010166745307590207
Non-oily fish intake,4,-0.033642699626052694,0.015744316630061657
Non-oily fish intake,5,-0.10171728193362656,2.1582617217642974e-07
Processed meat intake,1,-0.07975113467108665,5.6363983391297063e-11
Processed meat intake,2,-0.07774986781133054,2.402414809332735e-09
Processed meat intake,3,0.019081546522462092,0.1869910901632838
Processed meat intake,4,0.12939845465487446,5.648042935019222e-22
Processed meat intake,5,0.06742010063361115,0.0003672048287934829
Poultry intake,1,4.490454540550886e-05,0.9971631648015349
Poultry intake,2,-0.11996749854217865,6.712990833979953e-19
Poultry intake,3,0.10497182323798403,2.5605209075911542e-12
Poultry intake,4,0.08098260134138165,6.241762286013972e-09
