subtype,cell_type,chi2_stat,p_value,overlap,fdr,neg_log10_fdr
1,B cell,0.029723254933020134,0.8631196639015276,6,1.0,-0.0
1,naive B cell,1.7388571671513082,0.1872836963811431,8,0.625538119551574,0.20374621977317264
1,memory B cell,1.2431510830527088,0.26486462638548686,8,0.7342546610483384,0.13415328789518843
1,mature B cell,3.6415880591960303,0.05635315804482072,10,0.31402904864671083,0.5030301765017487
1,plasma cell,2.820289492678768,0.09307961437799354,10,0.4470270953679953,0.34966615245604055
1,transitional stage B cell,1.5773562705757809,0.20914191270941193,8,0.6725709087130868,0.1722619215272003
1,class switched memory B cell,0.36584006073828806,0.5452805695026286,6,0.9957013194765282,0.001870917356020546
1,immature B cell,0.17217436039156656,0.6781865706138104,3,1.0,-0.0
1,IgA plasma cell,7.500527764009806,0.00616809152230891,7,0.0616809152230891,1.2098491908360163
1,IgG plasma cell,5.046741609594573,0.024672293465060995,8,0.16991296442919365,0.7697734830188049
1,plasmablast,1.0872520276681765,0.2970808736604616,7,0.7586894080387804,0.11993597902070974
1,T cell,0.3445037000904011,0.5572410652650533,4,0.9995409789222511,0.0001993960881491295
1,alpha-beta T cell,0.10437490259305561,0.7466414352517556,5,1.0,-0.0
1,memory T cell,0.004144863811611406,0.9486671636058599,5,1.0,-0.0
1,"CD4-positive, alpha-beta T cell",0.17729855479165252,0.6737051726673053,4,1.0,-0.0
1,"CD8-positive, alpha-beta T cell",0.0,1.0,6,1.0,-0.0
1,"naive thymus-derived CD4-positive, alpha-beta T cell",0.0,1.0,5,1.0,-0.0
1,"naive thymus-derived CD8-positive, alpha-beta T cell",0.005635252065541586,0.9401603568491369,6,1.0,-0.0
1,"CD4-positive, alpha-beta memory T cell",0.08357821541156894,0.7725056405165515,4,1.0,-0.0
1,"CD8-positive, alpha-beta memory T cell",0.00014804321435052636,0.9902921378927665,6,1.0,-0.0
1,"effector CD8-positive, alpha-beta T cell",0.04091609535625381,0.839699965893304,7,1.0,-0.0
1,regulatory T cell,0.00035047516625990184,0.9850636899885659,5,1.0,-0.0
1,T follicular helper cell,0.21488431991390902,0.6429657649312039,4,1.0,-0.0
1,CD4-positive helper T cell,0.05079894425444288,0.8216788374786573,5,1.0,-0.0
1,"CD4-positive, alpha-beta cytotoxic T cell",0.0,1.0,5,1.0,-0.0
1,"CD8-positive, alpha-beta cytotoxic T cell",0.1815733139882355,0.6700246313288544,7,1.0,-0.0
1,mature alpha-beta T cell,0.047383322963749606,0.8276807018476859,7,1.0,-0.0
1,gamma-delta T cell,0.0,1.0,5,1.0,-0.0
1,mature gamma-delta T cell,0.14181596393842882,0.7064823311146873,7,1.0,-0.0
1,mucosal invariant T cell,0.1017858554167209,0.7496969725368147,4,1.0,-0.0
1,T-helper 22 cell,0.0,1.0,5,1.0,-0.0
1,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",0.16393777310471663,0.6855566799348951,6,1.0,-0.0
1,double negative T regulatory cell,0.0,1.0,7,1.0,-0.0
1,"central memory CD4-positive, alpha-beta T cell",0.09504855501944791,0.7578544793928808,6,1.0,-0.0
1,"central memory CD8-positive, alpha-beta T cell",0.47403919840351644,0.4911347937516143,7,0.9637860199964473,0.016019377560058033
1,"effector memory CD4-positive, alpha-beta T cell",0.011471193365103764,0.9147067459090711,6,1.0,-0.0
1,"effector memory CD8-positive, alpha-beta T cell",0.0,1.0,5,1.0,-0.0
1,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",0.06990475197718674,0.7914755115300187,7,1.0,-0.0
1,"activated CD4-positive, alpha-beta T cell",0.12568790544088668,0.7229455459802121,6,1.0,-0.0
1,"activated CD8-positive, alpha-beta T cell",0.003779456738068395,0.9509791030437911,6,1.0,-0.0
1,"double-positive, alpha-beta thymocyte",0.6059107022537402,0.436331670684449,5,0.9188984816228384,0.036732466096321796
1,double negative thymocyte,0.0,1.0,6,1.0,-0.0
1,natural killer cell,0.0,1.0,5,1.0,-0.0
1,mature NK T cell,0.10437490259305561,0.7466414352517556,5,1.0,-0.0
1,"CD16-positive, CD56-dim natural killer cell, human",0.07848093435753561,0.7793666538443661,7,1.0,-0.0
1,"CD16-negative, CD56-bright natural killer cell, human",0.0,1.0,5,1.0,-0.0
1,lymphocyte,0.056733206131593925,0.8117358003777344,7,1.0,-0.0
1,innate lymphoid cell,0.10754483596347998,0.7429568072310486,7,1.0,-0.0
1,immature innate lymphoid cell,1.244049096730623,0.26469211874571424,12,0.7342546610483384,0.13415328789518843
1,lymphoid lineage restricted progenitor cell,0.0,1.0,8,1.0,-0.0
1,monocyte,8.687190630609884,0.0032045418446329517,14,0.041040623624246576,1.3867860486147747
1,classical monocyte,7.420343394526389,0.006449050646945912,13,0.06361901313879076,1.1964130719734165
1,non-classical monocyte,10.988930048775938,0.0009165771048060557,14,0.01760792859232686,1.7542917317008064
1,intermediate monocyte,5.679088579366971,0.017168283883626543,12,0.13476179822631587,0.8704332025398658
1,"CD14-positive, CD16-negative classical monocyte",5.679088579366971,0.017168283883626543,12,0.13476179822631587,0.8704332025398658
1,"CD14-positive, CD16-positive monocyte",9.732701508017808,0.0018101823533314629,13,0.026968022814938118,1.5691508930739453
1,"CD14-low, CD16-positive monocyte",14.243130327062097,0.00016064612251246837,15,0.0048863195597542465,2.311018134067518
1,CD14-positive monocyte,8.436128843028856,0.0036783846526976523,13,0.043374105758152606,1.3627694659371674
1,macrophage,15.019275535638437,0.00010641865039619252,16,0.0035311643086009337,2.4520820738108755
1,alveolar macrophage,7.787388758764847,0.005261218117350064,13,0.056480723906846275,1.2480997456188943
1,elicited macrophage,17.17775590132916,3.403990081671206e-05,17,0.0015530704747624877,2.808808836540586
1,lung macrophage,18.231146975479284,1.9565295690389247e-05,17,0.001098666604152627,2.959134076405904
1,inflammatory macrophage,18.231146975479284,1.9565295690389247e-05,17,0.001098666604152627,2.959134076405904
1,alternatively activated macrophage,7.273989138010726,0.006996025377723666,12,0.06719866481234574,1.1726393559698542
1,central nervous system macrophage,0.079490496944002,0.777989064283602,9,1.0,-0.0
1,dendritic cell,5.679088579366971,0.017168283883626543,12,0.13476179822631587,0.8704332025398658
1,CD1c-positive myeloid dendritic cell,9.732701508017808,0.0018101823533314629,13,0.026968022814938118,1.5691508930739453
1,plasmacytoid dendritic cell,5.992051128071722,0.014370483092386076,12,0.1263909958727932,0.8982838642027432
1,conventional dendritic cell,2.4239820047560494,0.11949084396692161,9,0.5136847973539259,0.28930328715282777
1,granulocyte,0.9420606739004048,0.33174845193155095,9,0.8181634118582168,0.08715994598574335
1,neutrophil,1.3157155095820998,0.2513624327276149,10,0.7139866766192952,0.14630989232005467
1,mast cell,2.5607773449104005,0.1095447081183099,10,0.4966933970581753,0.30391161338963574
1,leukocyte,0.17849171313403206,0.6726726552999962,9,1.0,-0.0
1,erythrocyte,0.44188689526909475,0.5062131346143133,6,0.9765044276858084,0.010325783184980166
1,platelet,0.13048833291309608,0.7179262550477266,6,1.0,-0.0
1,hematopoietic stem cell,0.4854494562550808,0.48596425061567283,8,0.9587943322957869,0.01827454186819183
1,tracheal goblet cell,10.07533742606716,0.0015026710132644383,11,0.024773451274250922,1.6060134861492639
1,club cell,5.524556729257632,0.01875135338211256,10,0.14111843266950688,0.850416255672888
1,type I pneumocyte,3.0167768441391702,0.08240709850330602,13,0.42067959375813563,0.3760485541422154
1,type II pneumocyte,6.430467790929857,0.011217902986588531,14,0.10365910354695732,0.9843925512971163
1,ciliated columnar cell of tracheobronchial tree,2.767137201146384,0.09621810500015164,11,0.4531562364523271,0.34375203875788596
