biom,subtype,t_statistic,p_value,corrected_p_value,significant
A1BG,1,-18.031753391236016,2.5964191963072546e-72,3.794666655403052e-68,True
A1BG,2,1.5386555415097212,0.12389872862186461,1.0,False
A1BG,3,-6.15149376404834,7.770442138923938e-10,1.1356501186037336e-05,True
A1BG,4,15.588580465410578,1.4106761309930503e-54,2.0617031654463431e-50,True
A1BG,5,11.830134045156631,3.204897680693824e-32,4.683957960334023e-28,True
AAMDC,1,-21.31613391179994,4.2898732947121354e-100,6.269649820221786e-96,True
AAMDC,2,0.4821366562998022,0.6297123122732984,1.0,False
AAMDC,3,-11.376823778814536,6.264041719299488e-30,9.154896972756201e-26,True
AAMDC,4,26.283524166217447,1.3825361216835663e-150,2.020576541840532e-146,True
AAMDC,5,10.427188618575936,2.0548378809389685e-25,3.0031455629923024e-21,True
AARSD1,1,-16.90960335296919,7.448290575963409e-64,1.088567667677052e-59,True
AARSD1,2,1.006124776352199,0.3143634900592381,1.0,False
AARSD1,3,-9.316067789265901,1.2854346882021167e-20,1.8786627968073935e-16,True
AARSD1,4,17.24580182450778,2.47534971350779e-66,3.617723606291635e-62,True
AARSD1,5,12.714718157242732,6.073331849987906e-37,8.876174498757324e-33,True
ABCA2,1,-10.790122638637333,4.287487426365449e-27,6.266162873633104e-23,True
ABCA2,2,14.083068857443244,6.663730892926761e-45,9.739042700012462e-41,True
ABCA2,3,-21.98687498504645,2.553680904938501e-106,3.732204642567619e-102,True
ABCA2,4,3.7320826039474775,0.00019024590339352282,1.0,False
ABCA2,5,19.753349619395273,2.5864923889627674e-86,3.7801586264690846e-82,True
ABHD14B,1,-24.016537954414574,2.746471547264038e-126,4.0139681663263915e-122,True
ABHD14B,2,4.112964325842377,3.9162855977383445e-05,0.572365140109459,False
ABHD14B,3,-14.747730102906631,4.68709111079365e-49,6.85018365842492e-45,True
ABHD14B,4,25.029641595461353,6.903025617168062e-137,1.0088771939491123e-132,True
ABHD14B,5,15.373486752300625,3.89310699630793e-53,5.689775875104039e-49,True
ABL1,1,-31.08551522910914,6.642023605202301e-209,9.707317499003163e-205,True
ABL1,2,2.158613266634133,0.030887915891275243,1.0,False
ABL1,3,-17.383697421848733,2.308551178035814e-67,3.373947546699342e-63,True
ABL1,4,34.125070289747704,1.5387746877297954e-250,2.248919206117096e-246,True
ABL1,5,19.99066541994058,2.4296751050356935e-88,3.550970166009666e-84,True
ABO,1,-1.1854269473848853,0.23585786777928167,1.0,False
ABO,2,0.6220743665133684,0.5338975941209823,1.0,False
ABO,3,-1.2397173961985701,0.2150894267352802,1.0,False
ABO,4,0.3564799968918858,0.721483582117943,1.0,False
ABO,5,2.058291456312744,0.039570593549983366,1.0,False
ABRAXAS2,1,-22.59166947887583,4.310115740839065e-112,6.299234155236293e-108,True
ABRAXAS2,2,3.0194139393684356,0.0025347247949402806,1.0,False
ABRAXAS2,3,-13.030257735629753,1.0433641413543383e-38,1.5248766925893653e-34,True
ABRAXAS2,4,25.940785309641296,8.881332146852673e-147,1.298006693262518e-142,True
ABRAXAS2,5,11.298504760984438,1.5269379137215885e-29,2.2316197609041014e-25,True
ACAA1,1,-31.15081813494927,9.244851383566428e-210,1.3511350297082334e-205,True
ACAA1,2,-0.869398242232441,0.3846361484657287,1.0,False
ACAA1,3,-14.785648887119516,2.6813055183558433e-49,3.918728015077065e-45,True
ACAA1,4,29.93089231041531,4.8491854590983066e-194,7.087084548472175e-190,True
ACAA1,5,26.939339108750445,5.271817668887988e-158,7.704761523079795e-154,True
ACADM,1,-7.110853407528423,1.1785007143579738e-12,1.7223787940341787e-08,True
ACADM,2,1.7495144250086931,0.08021213971234953,1.0,False
ACADM,3,-4.1334469230421345,3.5831175988729e-05,0.5236726370752743,False
ACADM,4,6.313669707127106,2.7622237992812535e-10,4.036990082649552e-06,True
ACADM,5,5.01759896914023,5.261341306659851e-07,0.007689450319683372,True
ACADSB,1,-19.817651173010567,7.3411265487967185e-87,1.0729056451066404e-82,True
ACADSB,2,-0.06264067428864256,0.9500530478365234,1.0,False
ACADSB,3,-11.098445098234267,1.4469182293111133e-28,2.114670992138192e-24,True
ACADSB,4,25.66272555238229,1.0061353080914929e-143,1.4704667527757169e-139,True
ACADSB,5,9.416985000044201,4.956123567854594e-21,7.243374594419488e-17,True
ACAN,1,12.761954484144367,3.325825252390549e-37,4.860693606368787e-33,True
ACAN,2,55.45523560504978,0.0,0.0,True
ACAN,3,-49.189785887471444,0.0,0.0,True
ACAN,4,-34.45837671497321,2.5269389600640943e-255,3.693121290133674e-251,True
ACAN,5,13.060325661048,7.04761526397536e-39,1.0300089708299989e-34,True
ACE,1,-5.44380804352483,5.2552946536846183e-08,0.0007680613136360069,True
ACE,2,22.01683995228321,1.3326385382713378e-106,1.94765122368356e-102,True
ACE,3,-27.46603335847664,4.345478968230138e-164,6.350917512068347e-160,True
ACE,4,-2.4534752277629432,0.014153851765727832,1.0,False
ACE,5,15.743746053657473,1.2527712347967901e-55,1.8309251596555087e-51,True
ACE2,1,-28.90077081784402,3.155984351868127e-181,4.612471130255268e-177,True
ACE2,2,-5.071706599786358,3.965587558249912e-07,0.005795706216382246,True
ACE2,3,-12.639031547721578,1.5867017435452773e-36,2.3189645981914227e-32,True
ACE2,4,25.456211191589162,1.7809207870819112e-141,2.6028157303202133e-137,True
ACE2,5,33.2565520767584,2.8329703240901358e-238,4.1403861286577337e-234,True
