Biomarker,Subtype,Age,Coefficient,p,t
CGA,1,49.0,0.8122633801119025,2.5133732945135746e-85,20.326302069788717
ELN,1,49.0,0.5621619972969156,2.418078891442049e-77,19.259348126008856
FSHB,1,49.0,0.6781481198961844,2.484258273817497e-71,18.426024228842717
EDA2R,1,64.0,0.3927189838498726,9.545159585475463e-66,17.49242855296649
LTBP2,1,49.0,0.4534353406705645,3.792224949993291e-61,16.94403047310254
GDF15,1,64.0,0.2994820761484007,1.9310046720422395e-51,15.338447193901356
SCARF2,1,49.0,0.374753933870833,6.7373292477759485e-49,15.011187954203256
CXCL17,1,49.0,0.4012952138978271,2.7301130794177602e-46,14.572855917526063
LTBP2,1,64.0,0.3239460848061452,5.670388655169707e-44,14.103510142640973
WFDC2,1,64.0,0.27569292983691185,4.7491084878073704e-43,13.944240733307335
ELN,1,64.0,0.3296790408537341,2.782091877054492e-42,13.810522716386329
EFEMP1,1,64.0,0.3127748657322016,1.2560966909806095e-41,13.695591297637673
NCS1,1,49.0,0.445020100617312,3.8325627422279e-41,13.673253819811787
CCDC80,1,64.0,0.35066613047929834,4.0482678041050645e-40,13.42748174922545
HAVCR1,1,49.0,0.42392191545698615,3.54948756980063e-39,13.31595735744912
NEFL,1,64.0,0.3355727572183395,1.359848584148291e-36,12.78115931345404
SOST,1,49.0,0.4521826835177442,3.601658904881769e-36,12.753207254120795
CDCP1,1,49.0,0.3746275344445857,2.145963957060798e-35,12.604591183029651
CHRDL1,1,64.0,0.2626956623224704,1.4266727330741855e-34,12.39718172027209
GDF15,1,49.0,0.2926758345107617,3.2901878113427237e-34,12.374267276583232
EDA2R,1,49.0,0.3188484131872095,2.46091155381759e-33,12.202070469385209
NEFL,1,49.0,0.37513803243199223,1.2054098106514713e-32,12.064576541008622
ACAN,1,49.0,0.40189353769897485,3.468422323418362e-32,11.972350333297896
DTX3,1,49.0,0.3705947388045019,1.8822561450073448e-30,11.618010250054061
LECT2,1,64.0,0.341051574476025,2.124715940658401e-30,11.568034630678559
SCARF2,1,64.0,0.24690001278314916,3.378826978650672e-30,11.526635695235424
PTPRZ1,1,49.0,0.36709306708909306,7.711915271371887e-30,11.490583444860412
SCARA5,1,49.0,0.35149548733439046,1.1182597074790226e-29,11.456799059305851
DPT,1,49.0,0.3730753446822063,2.528137354376203e-29,11.382324111244086
TNFRSF11B,1,64.0,0.2888715800502456,3.9051357977950566e-29,11.305939362130482
LRFN2,1,64.0,0.3450215038770997,2.310266371056772e-28,11.143132742522846
CHRDL1,1,49.0,0.285081278438496,5.090420257714531e-28,11.104373364388648
MLN,1,49.0,0.39838603679434975,1.2357779587070708e-27,11.021071738463714
ACTA2,1,49.0,0.33662724321912046,1.7167829381613734e-27,10.99005146460151
TNFRSF11B,1,49.0,0.3434157290696692,8.05602519533319e-27,10.843113175274485
IL17D,1,49.0,0.31858075020597443,1.0865017403020882e-26,10.814475786002182
MSR1,1,49.0,0.35180565664078495,1.3509014416877342e-25,10.570421423233688
WNT9A,1,49.0,0.3480398400048613,1.6722932330081396e-25,10.54952231013566
OGN,1,64.0,0.2565622390018824,1.249354943077143e-25,10.54834403295269
MAN1A2,1,49.0,0.3904506219466995,2.49466971869066e-25,10.510256232203444
PKD1,1,49.0,0.34764152596400894,3.635435232323477e-25,10.47316512358138
CCN3,1,49.0,0.2789551984372229,4.521457117667887e-25,10.45162825128346
CDH2,1,49.0,0.3295826109325684,1.147376552794953e-24,10.359220011808267
RSPO3,1,64.0,0.26254356012718144,9.827813377805718e-25,10.346571657732904
NFASC,1,49.0,0.3142459367827971,4.920883737682398e-24,10.21322588176293
ITGAV,1,49.0,0.32320717440255786,8.187457307459014e-24,10.161729972618401
PLAT,1,49.0,0.33526173675026927,8.558868309969744e-24,10.157231407317585
MCAM,1,49.0,0.3053074878945268,1.41532874243261e-23,10.1061027071166
F3,1,49.0,0.3291927400190106,6.317703768915847e-23,9.952628071590569
DPP4,1,49.0,0.3397810012408734,7.493996279859558e-23,9.934974574284409
COL18A1,1,49.0,0.3222363675651669,1.2350973960552554e-22,9.883153199788252
SMOC1,1,49.0,0.3295551391510738,1.4344982259449934e-22,9.867582015511266
SCRG1,1,49.0,0.30106063176133935,2.2877965636314566e-22,9.818874876520747
CDCP1,1,64.0,0.266805475304816,2.4732590267404965e-22,9.786921063810482
TFPI,1,49.0,0.3477526171420067,3.9237568766416087e-22,9.762308194206575
PIK3IP1,1,64.0,0.20731125750399293,3.6320518113421434e-22,9.746915514578516
CCN1,1,49.0,0.3676850381204076,5.064941579269999e-22,9.735434619307009
LGALS9,1,49.0,0.30361651551094465,7.6161132246307625e-22,9.692353739637257
CCL27,1,49.0,0.34691043586631753,8.097836883114274e-22,9.685861514333627
AFP,1,49.0,0.381551443343907,8.693658994196984e-22,9.67834112629717
PROC,1,49.0,0.3574377165421963,1.018226817300935e-21,9.661580062540933
RSPO1,1,64.0,0.2705689557514992,8.512448763308178e-22,9.657693973171495
CRTAC1,1,49.0,0.34061200350715365,1.242890438738895e-21,9.64039901590194
