Subtype,Indicator,Beta,LogP,Category
1,White blood cell count,-0.38085171069631074,195.88998076891565,Immune
2,White blood cell count,-0.1961481035540461,45.65640063027615,Immune
3,White blood cell count,-0.004657949907057383,0.11949886469154064,Immune
4,White blood cell count,0.4691810038255839,200.0,Immune
5,White blood cell count,0.4192913066708217,97.44078553042131,Immune
1,Red blood cell count,-0.12858548598820033,31.732653617081322,Immune
2,Red blood cell count,0.09545963634918787,15.681831044542877,Immune
3,Red blood cell count,-0.1459619508495054,29.136792571676814,Immune
4,Red blood cell count,0.16148180854883692,40.612723663882086,Immune
5,Red blood cell count,0.04183104250274784,1.8752012184396363,Immune
1,Mean platelet volume,-0.0322647219150171,1.9218298199650783,Immune
2,Mean platelet volume,0.08472723412025891,9.145562780910526,Immune
3,Mean platelet volume,-0.08709324768545221,7.9724035499103625,Immune
4,Mean platelet volume,-0.03138979654788016,1.5660749925700441,Immune
5,Mean platelet volume,0.11137463362932558,7.60024641818801,Immune
1,C-reactive protein,-0.4689816143808779,200.0,Immune
2,C-reactive protein,-0.15982772653706045,29.652777823944923,Immune
3,C-reactive protein,-0.06775734315505952,4.831796029017135,Immune
4,C-reactive protein,0.584650520214147,200.0,Immune
5,C-reactive protein,0.5187191857511714,133.60057935569597,Immune
1,Alkaline phosphatase,-0.24114800234825157,79.61628208306244,Hepatic
2,Alkaline phosphatase,0.20424049139011483,50.191667117667315,Hepatic
3,Alkaline phosphatase,-0.3676775952895594,131.59782618421232,Hepatic
4,Alkaline phosphatase,0.17610605511388663,35.300956925710516,Hepatic
5,Alkaline phosphatase,0.43973917333677964,108.31627769952408,Hepatic
1,Alanine aminotransferase,-0.28313091734551754,118.98897385007423,Hepatic
2,Alanine aminotransferase,0.032450250545924604,1.8807066594840947,Hepatic
3,Alanine aminotransferase,-0.17029466666368545,31.271448024418767,Hepatic
4,Alanine aminotransferase,0.35265607850698644,149.35528366519782,Hepatic
5,Alanine aminotransferase,0.2283014557343096,31.40516025867466,Hepatic
1,Aspartate aminotransferase,-0.14256203364890346,29.310664529660844,Hepatic
2,Aspartate aminotransferase,0.25423445632738684,79.61452864085244,Hepatic
3,Aspartate aminotransferase,-0.36145624127959664,131.29752035379963,Hepatic
4,Aspartate aminotransferase,0.03994212166967148,2.390607549819036,Hepatic
5,Aspartate aminotransferase,0.36932860419345814,76.33864830062338,Hepatic
1,Gamma-glutamyl transferase,-0.3119155394028168,144.13124250520923,Hepatic
2,Gamma-glutamyl transferase,-0.1215141085844423,19.789590673958028,Hepatic
3,Gamma-glutamyl transferase,-0.0162719188725131,0.579407191314752,Hepatic
4,Gamma-glutamyl transferase,0.3854107057505963,176.8392842685417,Hepatic
5,Gamma-glutamyl transferase,0.3061698858149619,54.83641811625265,Hepatic
1,Total bilirubin,0.15263968260192143,33.480890227628116,Hepatic
2,Total bilirubin,0.0984028924834905,12.691014601713414,Hepatic
3,Total bilirubin,-0.005602512493134685,0.15107345789055665,Hepatic
4,Total bilirubin,-0.22306030338057004,58.293999437172076,Hepatic
5,Total bilirubin,-0.12289596655814809,9.54069726780711,Hepatic
1,Albumin,0.1696010438063041,36.52013690898836,Hepatic
2,Albumin,0.0380850415869996,2.1358696108141824,Hepatic
3,Albumin,0.07847007127238428,6.219288654474156,Hepatic
4,Albumin,-0.11862046948920696,15.264456672198367,Hepatic
5,Albumin,-0.388410542539533,78.58858707159666,Hepatic
1,Pulse rate,-0.29480280431814887,113.97373180428814,Cardiovascular
2,Pulse rate,-0.17541265786997873,35.84549939635616,Cardiovascular
3,Pulse rate,0.024920769703674784,0.9711467889791263,Cardiovascular
4,Pulse rate,0.36204665648451534,141.2127107857311,Cardiovascular
5,Pulse rate,0.32309886949393374,56.782702116051375,Cardiovascular
1,Systolic blood pressure,-0.101294771422029,16.04958778315624,Cardiovascular
2,Systolic blood pressure,0.015620089522908208,0.6374466731202063,Cardiovascular
3,Systolic blood pressure,-0.013548891880518084,0.45681682420935577,Cardiovascular
4,Systolic blood pressure,0.11210761118423987,16.144366375550668,Cardiovascular
5,Systolic blood pressure,0.012443997145061612,0.2907883218022884,Cardiovascular
1,Diastolic blood pressure,-0.17668786175403495,42.23380236943681,Cardiovascular
2,Diastolic blood pressure,-0.002626061262687904,0.07122364000109106,Cardiovascular
3,Diastolic blood pressure,-0.022124521306062194,0.8290844539673395,Cardiovascular
4,Diastolic blood pressure,0.2177416531224322,52.47252229286549,Cardiovascular
5,Diastolic blood pressure,0.03829530002790065,1.2500778993966526,Cardiovascular
1,Forced vital capacity,0.17711610815826365,69.4221679318084,Pulmonary
2,Forced vital capacity,0.07353434756575752,11.188023459588987,Pulmonary
3,Forced vital capacity,0.02014439985669755,1.0316857883721022,Pulmonary
4,Forced vital capacity,-0.18995556742093578,63.21303338618384,Pulmonary
5,Forced vital capacity,-0.2692580785322339,62.94302651208273,Pulmonary
1,Forced expiratory volume in 1-second,0.1768573895429667,72.02938538660462,Pulmonary
2,Forced expiratory volume in 1-second,0.08223755793624314,14.340575294247396,Pulmonary
3,Forced expiratory volume in 1-second,0.023921901914935997,1.3788223321906021,Pulmonary
4,Forced expiratory volume in 1-second,-0.18586605457788594,63.0044292416077,Pulmonary
5,Forced expiratory volume in 1-second,-0.30307946943017394,82.78733212906806,Pulmonary
1,Peak expiratory flow,0.09012103851504252,16.30603019144906,Pulmonary
2,Peak expiratory flow,0.05000929674250567,4.880831133743114,Pulmonary
3,Peak expiratory flow,0.029811791837549263,1.691474590905635,Pulmonary
